Split,Strategy,Fold,F2,AvgPrecision,ROC-AUC,P@100,Precision,Recall,AP_shared_comp,AP_unique_comp
grouped,ADASYN,1,0.4304635761589404,0.374885165335126,0.8667447117713547,0.39,0.16129032258064516,0.7386363636363636,0.15190758947501132,0.44597514335009514
grouped,ADASYN,2,0.44764795144157815,0.3734425130154851,0.8674512987012988,0.36,0.17404129793510326,0.7375,0.2778032023318761,0.3901413446877199
grouped,ADASYN,3,0.41543026706231456,0.3023453747728262,0.8525691308557174,0.33,0.16,0.691358024691358,0.07619906376828572,0.35149271613295563
grouped,ADASYN,4,0.47075606276747506,0.345515635846547,0.8660950213222405,0.31,0.2006079027355623,0.7096774193548387,0.24061858080991383,0.38984339365643167
grouped,ADASYN,5,0.43209876543209874,0.43704909664027825,0.8521829968967954,0.48,0.16279069767441862,0.7368421052631579,0.4345591192165044,0.4619833524649085
grouped,ADASYN,6,0.44506258692628653,0.41831076843773896,0.8895353143580523,0.43,0.1725067385444744,0.735632183908046,0.13754927108933013,0.4973786604255549
grouped,ADASYN,7,0.3869047619047619,0.33773144871222516,0.8735562124767624,0.29,0.14130434782608695,0.6842105263157895,0.1919516080759943,0.4226106167337718
grouped,ADASYN,8,0.496551724137931,0.39855396570030405,0.8491472266785893,0.43,0.20630372492836677,0.7659574468085106,0.4220021147546173,0.40765361318674864
grouped,ADASYN,9,0.4136947218259629,0.33159285429267604,0.8708406151081913,0.36,0.15384615384615385,0.7160493827160493,0.29763822480675584,0.35830188131222585
grouped,ADASYN,10,0.4336399474375821,0.3432670322111148,0.8067820206841687,0.39,0.18082191780821918,0.6666666666666666,0.21533930398337747,0.37890676467656564
grouped,ADASYN,11,0.45839210155148097,0.42956269812061304,0.8591767531984924,0.44,0.18840579710144928,0.7142857142857143,0.3339512024936879,0.4740340627942623
grouped,ADASYN,12,0.4305555555555556,0.3885385169481238,0.8724814980642103,0.42,0.16489361702127658,0.7209302325581395,0.1291167976067842,0.45799304973242516
grouped,ADASYN,13,0.4699738903394256,0.3364216832361448,0.8499622261395114,0.33,0.18652849740932642,0.7578947368421053,0.17690969020350075,0.3926464476188659
grouped,ADASYN,14,0.42151162790697677,0.29428595309512384,0.8494075531736728,0.3,0.16477272727272727,0.6904761904761905,0.20866439811976942,0.3328683420496013
grouped,ADASYN,15,0.4294032023289665,0.38152457856233807,0.8730305092684069,0.37,0.162534435261708,0.7283950617283951,0.32820561092767675,0.4125686019972305
grouped,RUS,1,0.4294478527607362,0.3636826390693892,0.8665361429571021,0.38,0.1511879049676026,0.7954545454545454,0.20083752987592715,0.4097425795975262
