Fold,Strategy,Calibration,F2,F2_tuned,Threshold,AvgPrecision,ROC-AUC,Brier,ECE,SpearmanVsRaw,nUniqueProb
7,ADASYN,raw,0.4110738255033557,0.40250447227191416,0.5399999999999999,0.3392651615643558,0.884382714168165,0.10104302851755512,0.19089191390849194,1.0,1469
7,ADASYN,sigmoid,0.08064516129032258,,,0.3392651615643558,0.884382714168165,0.034539164402185435,0.016630231421622437,1.0,1469
7,ADASYN,isotonic,0.21084337349397592,,,0.3092254790315549,0.8838760552220156,0.03418150305674559,0.014605139360521135,0.9943638159345066,71
7,RUS,raw,0.4050464807436919,0.4708097928436911,0.69,0.3282447720238113,0.8846722335659647,0.14899235399093622,0.27474321315041267,1.0,1475
7,RUS,sigmoid,0.0,,,0.3282447720238113,0.8846722335659647,0.03458538570035187,0.008360079092301423,1.0,1475
7,RUS,isotonic,0.21341463414634146,,,0.3144015891634063,0.8846798524974857,0.03440492881190415,0.016770796065993205,0.9944218796135217,66
8,None,raw,0.33816425120772947,0.493730407523511,0.07,0.4648936648218258,0.8689214422849327,0.038390947605969866,0.008394230224592524,1.0,1477
8,None,sigmoid,0.33653846153846156,,,0.4648936648218258,0.8689214422849327,0.039269802301814774,0.0072135343286665096,0.9999999999999999,1477
8,None,isotonic,0.39414414414414417,,,0.38782928566619124,0.8632669699918469,0.03990301397033242,0.0036752861554551625,0.9676192551822891,49
8,ClassWeight,raw,0.541871921182266,0.5082212257100149,0.42999999999999994,0.45033095846877264,0.8606567077821319,0.08967517254927627,0.15796353257583262,1.0,1474
8,ClassWeight,sigmoid,0.25925925925925924,,,0.45033095846877264,0.8606567077821319,0.039715339503365144,0.01283679908806394,1.0,1474
8,ClassWeight,isotonic,0.36384976525821594,,,0.40603062785084293,0.8570010256949739,0.03960047117296016,0.00813024348911729,0.9877560107029729,52
8,B-SMOTE,raw,0.4707792207792208,0.4791666666666667,0.35999999999999993,0.388493825913698,0.8487067038371512,0.09622165600852367,0.15926685262140686,1.0,1454
8,B-SMOTE,sigmoid,0.013262599469496022,,,0.388493825913698,0.8487067038371512,0.042057294143158265,0.013377671502639158,0.9999999999999999,1454
8,B-SMOTE,isotonic,0.05221932114882506,,,0.3727493354047544,0.849955947715856,0.04169151405055121,0.01285941596238147,0.9956341981447333,71
8,SMOTE,raw,0.5039370078740157,0.4927536231884058,0.4499999999999999,0.42157761795877297,0.8447025484575126,0.10263440249907635,0.17740854649656565,1.0,1458
8,SMOTE,sigmoid,0.06527415143603134,,,0.42157761795877297,0.8447025484575126,0.04132497581062897,0.01423813467409046,1.0,1458
8,SMOTE,isotonic,0.2125,,,0.405452503792206,0.8497784235857244,0.04025489258025292,0.008948153850435344,0.9908504744354146,60
8,ADASYN,raw,0.5078125,0.5083459787556904,0.4699999999999999,0.39079787427045065,0.8480787944139074,0.09911783388425675,0.17386694119538174,1.0,1459
8,ADASYN,sigmoid,0.0,,,0.39079787427045065,0.8480787944139074,0.041609881034305005,0.014754929438021105,1.0,1459
8,ADASYN,isotonic,0.13959390862944163,,,0.36656572887395306,0.8445611866501853,0.041379692833328076,0.015385425265657574,0.9917244508875812,68
8,RUS,raw,0.4713375796178344,0.5008347245409015,0.63,0.3802142918781998,0.8514747652736502,0.14707166432837915,0.2716668849488912,1.0,1390
